Date,BET
03-01-05,18935.18
04-01-05,18452.75
05-01-05,19048.66
06-01-05,19101.17
07-01-05,19182.2
10-01-05,20036.88
11-01-05,20328.03
12-01-05,19479.67
13-01-05,19823.91
14-01-05,19779.16
17-01-05,19828.17
18-01-05,20272.21
19-01-05,21142.65
20-01-05,20903.17
21-01-05,21473.04
24-01-05,22746.47
25-01-05,22831.54
26-01-05,22213.15
27-01-05,22825.6
28-01-05,23016.78
31-01-05,23420.64
01-02-05,24217.66
02-02-05,25645.02
03-02-05,27156.95
04-02-05,26794.72
07-02-05,26687.49
08-02-05,26687.49
09-02-05,25611.3
10-02-05,28014.33
11-02-05,28014.33
14-02-05,31044.58
15-02-05,30206.96
16-02-05,31041.8
17-02-05,31399.08
18-02-05,31439.28
21-02-05,30860.99
22-02-05,31658.39
23-02-05,32392.22
24-02-05,33155.81
25-02-05,32593.65
28-02-05,31838.73
01-03-05,31914.38
02-03-05,31931.23
03-03-05,30699.11
04-03-05,30306.26
07-03-05,29717.97
08-03-05,27512.14
09-03-05,
10-03-05,
11-03-05,
14-03-05,27771.36
15-03-05,26441.4
16-03-05,25964.51
17-03-05,24321.32
18-03-05,24420.14
21-03-05,24896.91
22-03-05,24381.4
23-03-05,24295.35
24-03-05,24346.05
25-03-05,23542.24
28-03-05,20807.28
29-03-05,21120.96
30-03-05,22133.66
31-03-05,22075.95
01-04-05,23256.35
04-04-05,23986.31
05-04-05,23767.2
06-04-05,23073.46
07-04-05,22950.47
08-04-05,23060.38
11-04-05,23659.96
12-04-05,23996.4
13-04-05,25639.49
14-04-05,24612.68
15-04-05,24434.08
18-04-05,24116.77
19-04-05,24081.11
20-04-05,22853.57
21-04-05,22970.67
22-04-05,
25-04-05,
26-04-05,
27-04-05,22498.44
28-04-05,23456.5
29-04-05,23854.12
03-05-05,24560.82
04-05-05,24829.6
05-05-05,24437.72
06-05-05,24035.95
09-05-05,24137.04
10-05-05,24191.72
11-05-05,23785.78
12-05-05,23308.57
13-05-05,23388.57
16-05-05,23881.42
17-05-05,24089.22
18-05-05,25192.82
19-05-05,26363.17
20-05-05,27053.34
23-05-05,25454.92
24-05-05,25073.63
25-05-05,25107.8
26-05-05,24401.1
27-05-05,23961.41
30-05-05,23263.03
31-05-05,23696.88
01-06-05,24552.57
02-06-05,24520.88
03-06-05,24259.69
06-06-05,23902.39
07-06-05,24079.34
08-06-05,24077.17
09-06-05,24231.13
10-06-05,24748.65
13-06-05,24615.68
14-06-05,24767.15
15-06-05,25126.74
16-06-05,25183.58
17-06-05,24996.76
20-06-05,24919.14
21-06-05,24876.86
22-06-05,24807.46
23-06-05,25026.48
24-06-05,25360.8
04-07-05,25248.8
05-07-05,25099.61
06-07-05,25046.74
07-07-05,24406.84
08-07-05,23956.56
11-07-05,24011.71
12-07-05,24838.31
13-07-05,24089.53
14-07-05,24846.53
15-07-05,25812.05
18-07-05,27036.06
19-07-05,27435.12
20-07-05,28259.55
21-07-05,27947.67
22-07-05,27768.75
25-07-05,27621.73
26-07-05,27072.96
27-07-05,27602.92
28-07-05,27449.68
29-07-05,29659.99
01-08-05,30496.76
02-08-05,31115.57
03-08-05,
04-08-05,34450.25
05-08-05,32628.97
08-08-05,33282.6
09-08-05,32963.32
10-08-05,32787.3
11-08-05,32671.33
12-08-05,32772.41
15-08-05,32974.7
16-08-05,33176.56
17-08-05,32814.8
18-08-05,32676.2
19-08-05,32243.24
22-08-05,31542.68
23-08-05,31404.08
24-08-05,31363.77
25-08-05,30726.67
26-08-05,30171.75
29-08-05,29174.98
30-08-05,29993.36
31-08-05,30096.73
01-09-05,31070.87
02-09-05,31646.88
05-09-05,30910.98
06-09-05,31068.39
07-09-05,31270.25
08-09-05,32248.32
09-09-05,32904.52
12-09-05,33339.24
13-09-05,33576.76
14-09-05,34054.17
